archetype,sp.names
Deep,Asymbolus occiduus
Deep,Callanthias australis
Deep,Centroberyx australis
Deep,Gerres sp1
Deep,Gerres subfasciatus
Deep,Kyphosus sydneyanus
Deep,Neosebastes nigropunctatus
Deep,Parequula elongata
Deep,Pristiophorus cirratus
Deep,Pterygotrigla polyommata
Deep,Squalus sp1
Deep,Squalus spp
Deep,Trachurus declivis
Ubiquitous,Acanthaluteres brownii
Ubiquitous,Anoplocapros lenticularis
Ubiquitous,Bathytoshia brevicaudata
Ubiquitous,Centroberyx gerrardi
Ubiquitous,Centroberyx lineatus
Ubiquitous,Chrysophrys auratus
Ubiquitous,Coris auricularis
Ubiquitous,Enoplosus armatus
Ubiquitous,Epinephelides armatus
Ubiquitous,Furgaleus macki
Ubiquitous,Latropiscis purpurissatus
Ubiquitous,Meuschenia freycineti
Ubiquitous,Meuschenia scaber
Ubiquitous,Mustelus antarcticus
Ubiquitous,Neatypus obliquus
Ubiquitous,Nelusetta ayraud
Ubiquitous,Nemadactylus valenciennesi
Ubiquitous,Neosebastes bougainvillii
Ubiquitous,Neosebastes pandus
Ubiquitous,Oplegnathus woodwardi
Ubiquitous,Parapercis haackei
Ubiquitous,Parapercis ramsayi
Ubiquitous,Parupeneus chrysopleuron
Ubiquitous,Pseudocaranx spp
Ubiquitous,Seriola hippos
Ubiquitous,Sillago spp
Ubiquitous,Suezichthys bifurcatus
Ubiquitous,Tilodon sexfasciatus
Ubiquitous,Trygonorrhina dumerilii
Ubiquitous,Urolophus circularis
Shallow,Acanthaluteres vittiger
Shallow,Achoerodus gouldii
Shallow,Austrolabrus maculatus
Shallow,Bodianus frenchii
Shallow,Caesioperca rasor
Shallow,Carcharhinus brevipinna
Shallow,Chelmonops curiosus
Shallow,Choerodon rubescens
Shallow,Chromis klunzingeri
Shallow,Chromis westaustralis
Shallow,Dinolestes lewini
Shallow,Eupetrichthys angustipes
Shallow,Glaucosoma hebraicum
Shallow,Heterodontus portusjacksoni
Shallow,Hypoplectrodes nigroruber
Shallow,Meuschenia flavolineata
Shallow,Meuschenia galii
Shallow,Meuschenia hippocrepis
Shallow,Meuschenia venusta
Shallow,Myliobatis tenuicaudatus
Shallow,Notolabrus parilus
Shallow,Ophthalmolepis lineolatus
Shallow,Parascyllium variolatum
Shallow,Parequula melbournensis
Shallow,Parma bicolor
Shallow,Pempheris klunzingeri
Shallow,Pseudolabrus biserialis
Shallow,Scobinichthys granulatus
Shallow,Scorpis aequipinnis
Shallow,Scorpis georgiana
Shallow,Siphonognathus caninis
Shallow,Sphyraena novaehollandiae
Shallow,Trachinops noarlungae
Shallow,Trygonoptera ovalis
Shallow,Upeneichthys vlamingii
