"","family","genus.species","australian.common.name","fishing.type","iucn.ranking","mean.relative.abundance.per.deployment.plus.minus.SE","total.relative.abundance","archetype"
"1","Aplodactylidae","Aplodactylus westralis","Western seacarp","","","0.02 +/- 0.01",7,NA
"2","Aracanidae","Anoplocapros amygdaloides","Western smooth boxfish","","","0.02 +/- 0.01",5,NA
"3","Aracanidae","Anoplocapros lenticularis","Whitebarred boxfish","","","0.08 +/- 0.02",23,"Ubiquitous"
"4","Aracanidae","Caprichthys gymnura","Rigid boxfish","","","0.02 +/- 0.01",5,NA
"5","Aulopidae","Latropiscis purpurissatus","Sergeant baker","Commercial","","0.05 +/- 0.01",15,"Ubiquitous"
"6","Batrachoididae","Batrachomoeus rubricephalus",NA,"",NA,"0 +/- 0",1,NA
"7","Berycidae","Centroberyx australis","Yelloweye redfish","Commercial","","0.15 +/- 0.12",44,"Deep"
"8","Berycidae","Centroberyx gerrardi","Bight redfish","Commercial","","0.3 +/- 0.23",87,"Ubiquitous"
"9","Berycidae","Centroberyx lineatus","Swallowtail","Commercial","","0.39 +/- 0.24",115,"Ubiquitous"
"10","Berycidae","Unknown sp1",NA,"",NA,"0 +/- 0",1,NA
"11","Callanthiidae","Callanthias allporti","Rosy perch","","","0.01 +/- 0.01",3,NA
"12","Callanthiidae","Callanthias australis","Splendid perch","","","0.78 +/- 0.33",230,"Deep"
"13","Carangidae","Pseudocaranx spp",NA,"",NA,"1.31 +/- 0.17",384,"Ubiquitous"
"14","Carangidae","Seriola hippos","Samsonfish","Commercial","Least Concern","0.12 +/- 0.06",36,"Ubiquitous"
"15","Carangidae","Seriola lalandi","Yellowtail kingfish","Commercial","Least Concern","0.02 +/- 0.01",6,NA
"16","Carangidae","Trachurus novaezelandiae","Yellowtail scad","","","0.01 +/- 0.01",3,NA
"17","Carcharhinidae","Carcharhinus brevipinna","Spinner shark","","Near Threatened","0.01 +/- 0.01",4,"Shallow"
"18","Carcharhinidae","Carcharhinus limbatus","Common blacktip shark","Commercial","Near Threatened","0.02 +/- 0.01",5,NA
"19","Carcharhinidae","Carcharhinus plumbeus","Sandbar shark","Commercial","Vulnerable","0.01 +/- 0.01",4,NA
"20","Carcharhinidae","Carcharhinus spp",NA,"",NA,"0.01 +/- 0.01",3,NA
